 h bar =  0.492508228253105     
 TE -error=    1030.55029296875        3024411529636.78     
 Volume Error=   6.693738896501600E-002   16.5011087460698     
 TE -error=   -668.002929687500        3024411527938.23     
 Volume Error=   5.199751740292413E-002   16.4861688745077     
 TE -error=   -1876.27001953125        3024411526729.96     
 Volume Error=   6.158558107927092E-002   16.4957569381841     
 TE -error=   -790.027343750000        3024411527816.20     
 Volume Error=   6.427143262044410E-002   16.4984427897252     
 TE -error=   -1278.35400390625        3024411527327.88     
 Volume Error=   6.466507329605520E-002   16.4988364304008     
 TE -error=   -260.460937500000        3024411528345.77     
 Volume Error=   5.508979938895209E-002   16.4892611564937     
 TE -error=    1581.10058593750        3024411530187.33     
 Volume Error=   5.369713562686229E-002   16.4878684927316     
 TE -error=    1922.17138671875        3024411530528.40     
 Volume Error=   6.575078259629663E-002   16.4999221397011     
 TE -error=    1234.55371093750        3024411529840.78     
 Volume Error=   6.469065283454256E-002   16.4988620099393     
 TE -error=   -114.287597656250        3024411528491.94     
 Volume Error=   6.113509698479902E-002   16.4953064540896     
 TE -error=   -472.649902343750        3024411528133.58     
 Volume Error=   5.273648184811464E-002   16.4869078389529     
 TE -error=   -360.732910156250        3024411528245.50     
 Volume Error=   6.919265160831856E-002   16.5033640087131     
 TE -error=    1691.10546875000        3024411530297.34     
 Volume Error=   6.959766096770181E-002   16.5037690180725     
 TE -error=    4251.11865234375        3024411532857.35     
 Volume Error=   5.297238203638699E-002   16.4871437391412     
 TE -error=    1671.63574218750        3024411530277.87     
 Volume Error=   6.374989425239619E-002   16.4979212513572     
 TE -error=    1527.67675781250        3024411530133.91     
 Volume Error=   5.398419489210937E-002   16.4881555519969     
 TE -error=    2767.10009765625        3024411531373.33     
 Volume Error=   6.723261947172432E-002   16.5014039765765     
 TE -error=    3414.94433593750        3024411532021.17     
 Volume Error=   4.067004510943661E-002   16.4748414022142     
 TE -error=    3275.12744140625        3024411531881.36     
 Volume Error=   7.720331041127793E-002   16.5113746675161     
 TE -error=    3250.45068359375        3024411531856.68     
 Volume Error=   6.678817499050638E-002   16.5009595320953     
 TE -error=   -38.0341796875000        3024411528568.20     
 Volume Error=   7.121343514882028E-002   16.5053847922536     
 TE -error=   -1594.52978515625        3024411527011.70     
 Volume Error=   5.778133527201135E-002   16.4919526923768     
 TE -error=   -2787.19482421875        3024411525819.04     
 Volume Error=   6.417053555196617E-002   16.4983418926568     
 TE -error=   -1970.84179687500        3024411526635.39     
 Volume Error=   5.544791292777518E-002   16.4896192700326     
 TE -error=   -811.978515625000        3024411527794.25     
 Volume Error=   6.070592917239992E-002   16.4948772862772     
 TE -error=   -1660.31054687500        3024411526945.92     
 Volume Error=   6.176605893415399E-002   16.4959374160389     
 TE -error=   -631.531738281250        3024411527974.70     
 Volume Error=   5.106812750454992E-002   16.4852394846093     
 TE -error=    1673.27001953125        3024411530279.50     
 Volume Error=   6.107825356593821E-002   16.4952496106707     
 TE -error=    5204.05078125000        3024411533810.28     
 Volume Error=   6.328946255962364E-002   16.4974608196644     
 TE -error=    6616.73681640625        3024411535222.97     
 Volume Error=   7.785843081364874E-002   16.5120297879184     
 TE -error=    4114.05419921875        3024411532720.28     
 Volume Error=   5.964579941064585E-002   16.4938171565154     
 TE -error=   -510.496582031250        3024411528095.73     
 Volume Error=   4.490914307098137E-002   16.4790805001758     
 TE -error=   -2197.42578125000        3024411526408.80     
 Volume Error=   6.484128789452370E-002   16.4990126449993     
 TE -error=   -566.505859375000        3024411528039.72     
 Volume Error=   6.767777449567802E-002   16.5018491316005     
 TE -error=   -933.230957031250        3024411527673.00     
 Volume Error=   6.298819243966136E-002   16.4971595495444     
 TE -error=   -2119.36718750000        3024411526486.86     
 Volume Error=   6.398863661161158E-002   16.4981599937164     
 TE -error=    949.428710937500        3024411529555.66     
 Volume Error=   4.832259037357289E-002   16.4824939474784     
 TE -error=    4651.28320312500        3024411533257.51     
 Volume Error=   7.186713446571957E-002   16.5060384915705     
 TE -error=    6268.23779296875        3024411534874.47     
 Volume Error=   7.746052688162308E-002   16.5116318839864     
 TE -error=    5171.85205078125        3024411533778.08     
 Volume Error=   5.819629222969525E-002   16.4923676493345     
 TE -error=    3853.90332031250        3024411532460.13     
 Volume Error=   6.008917807776015E-002   16.4942605351825     
 TE -error=    2354.79785156250        3024411530961.03     
 Volume Error=   6.622542514378438E-002   16.5003967822486     
 TE -error=    3844.64160156250        3024411532450.87     
 Volume Error=   6.825189302617218E-002   16.5024232501310     
 TE -error=    3274.74609375000        3024411531880.98     
 Volume Error=   6.301661414909177E-002   16.4971879712539     
 TE -error=    1574.54199218750        3024411530180.77     
 Volume Error=   5.969411631667754E-002   16.4938654734215     
 TE -error=    1851.33593750000        3024411530457.57     
 Volume Error=   6.101004146330524E-002   16.4951813985681     
 TE -error=    1660.33105468750        3024411530266.56     
 Volume Error=   6.082530035200762E-002   16.4949966574568     
 TE -error=    1862.64892578125        3024411530468.88     
 Volume Error=   6.633200655414839E-002   16.5005033636589     
 TE -error=    444.897949218750        3024411529051.13     
 Volume Error=   5.830997906741686E-002   16.4924813361722     
 TE -error=    787.813964843750        3024411529394.04     
 Volume Error=   6.706386557198130E-002   16.5012352226768     
 TE -error=    502.952636718750        3024411529109.18     
 Volume Error=   5.972538019705098E-002   16.4938967373018     
 TE -error=   -1077.67187500000        3024411527528.56     
 Volume Error=   7.081268904585158E-002   16.5049840461506     
 TE -error=    776.490722656250        3024411529382.72     
 Volume Error=   6.618563475058181E-002   16.5003569918554     
 TE -error=   -38.4599609375000        3024411528567.77     
 Volume Error=   5.098854671814479E-002   16.4851599038229     
 TE -error=   -2193.88867187500        3024411526412.34     
 Volume Error=   5.648814749292796E-002   16.4906595045977     
 TE -error=   -3583.69433593750        3024411525022.54     
 Volume Error=   6.411511321857688E-002   16.4982864703234     
 TE -error=   -2348.74072265625        3024411526257.49     
 Volume Error=   7.105143140506698E-002   16.5052227885099     
 TE -error=   -15.9746093750000        3024411528590.26     
 Volume Error=   6.822915565862786E-002   16.5024005127634     
 TE -error=    2942.82080078125        3024411531549.05     
 Volume Error=   5.912994538448402E-002   16.4933013024893     
 TE -error=    4881.43017578125        3024411533487.66     
 Volume Error=   6.341878133753198E-002   16.4975901384423     
 TE -error=    3743.78076171875        3024411532350.01     
 Volume Error=   6.131131158326752E-002   16.4954826686881     
 TE -error=    1783.67968750000        3024411530389.91     
 Volume Error=   6.648974704148713E-002   16.5006611041463     
 TE -error=   -760.365722656250        3024411527845.86     
 Volume Error=   8.096776582533494E-002   16.5151391229301     
 TE -error=   -1981.72119140625        3024411526624.51     
 Volume Error=   5.973106453893706E-002   16.4939024216437     
 TE -error=   -3193.22753906250        3024411525413.00     
 Volume Error=   6.567120180989150E-002   16.4998425589147     
 TE -error=   -2186.85742187500        3024411526419.37     
 Volume Error=   6.362483873090241E-002   16.4977961958357     
 TE -error=   -787.422363281250        3024411527818.81     
 Volume Error=   8.125198291963898E-002   16.5154233400244     
 TE -error=   -540.269042968750        3024411528065.96     
 Volume Error=   6.870379820611561E-002   16.5028751553109     
 TE -error=   -66.7104492187500        3024411528539.52     
 Volume Error=   6.288587428571191E-002   16.4970572313905     
 TE -error=   -1266.97070312500        3024411527339.26     
 Volume Error=   4.954188170813723E-002   16.4837132388129     
 TE -error=   -1829.33837890625        3024411526776.89     
 Volume Error=   6.902212135173613E-002   16.5031934784565     
 TE -error=   -3380.21240234375        3024411525226.02     
 Volume Error=   7.763389930914855E-002   16.5118052564139     
 TE -error=   -2146.58300781250        3024411526459.65     
 Volume Error=   7.962910331116291E-002   16.5138004604160     
 TE -error=   -370.360839843750        3024411528235.87     
 Volume Error=   7.898677267803578E-002   16.5131581297828     
 TE -error=   -1833.76757812500        3024411526772.46     
 Volume Error=   7.938183443911839E-002   16.5135531915439     
 TE -error=   -3793.35742187500        3024411524812.87     
 Volume Error=   6.736513569194358E-002   16.5015364927967     
 TE -error=   -3668.02343750000        3024411524938.21     
 Volume Error=   7.573532911919756E-002   16.5099066862240     
