 h bar =  0.492508228253105     
 Volume Error=   7.120775080693420E-002   16.5004678365221     
 TE -error=   -2414.69921875000        5928827445839.99     
 Volume Error=   7.090079634508584E-002   16.5001608820603     
 TE -error=   -2828.29492187500        5928827445426.39     
 Volume Error=   7.731273399258498E-002   16.5065728197078     
 TE -error=   -3226.33105468750        5928827445028.36     
 Volume Error=   7.391349754470866E-002   16.5031735832599     
 TE -error=   -3726.92871093750        5928827444527.76     
 Volume Error=   7.298694981727749E-002   16.5022470355325     
 TE -error=   -4184.72558593750        5928827444069.96     
 Volume Error=   7.380549504887313E-002   16.5030655807641     
 TE -error=   -4703.29687500000        5928827443551.39     
 Volume Error=   7.802327672834508E-002   16.5072833624436     
 TE -error=   -5346.91992187500        5928827442907.77     
 Volume Error=   7.510152499889955E-002   16.5043616107141     
 TE -error=   -5927.90039062500        5928827442326.79     
 Volume Error=   7.140101843106095E-002   16.5006611041463     
 TE -error=   -6579.11914062500        5928827441675.57     
 Volume Error=   8.076881385932211E-002   16.5100288995745     
 TE -error=   -7279.31347656250        5928827440975.38     
 Volume Error=   7.965468284965027E-002   16.5089147685649     
 TE -error=   -7934.58398437500        5928827440320.11     
 Volume Error=   7.797211765137035E-002   16.5072322033666     
 TE -error=   -8716.81054687500        5928827439537.88     
 Volume Error=   7.483436093025375E-002   16.5040944466455     
 TE -error=   -9506.26562500000        5928827438748.42     
 Volume Error=   7.317453309951816E-002   16.5024346188147     
 TE -error=   -10283.3808593750        5928827437971.31     
 Volume Error=   7.274820745806210E-002   16.5020082931733     
 TE -error=   -11135.5341796875        5928827437119.16     
 Volume Error=   7.349854058702476E-002   16.5027586263022     
 TE -error=   -12003.9667968750        5928827436250.72     
 Volume Error=   7.610196917084977E-002   16.5053620548861     
 TE -error=   -12823.7968750000        5928827435430.89     
 Volume Error=   7.244125299621373E-002   16.5017013387114     
 TE -error=   -13788.8437500000        5928827434465.85     
 Volume Error=   7.959215508890338E-002   16.5088522408041     
 TE -error=   -14651.1367187500        5928827433603.55     
 Volume Error=   7.478320185327902E-002   16.5040432875685     
 TE -error=   -15647.8945312500        5928827432606.79     
 Volume Error=   7.456719686160795E-002   16.5038272825768     
 TE -error=   -16457.5410156250        5928827431797.15     
 Volume Error=   7.344169716816396E-002   16.5027017828834     
 TE -error=   -17481.9091796875        5928827430772.78     
 Volume Error=   7.656808520550840E-002   16.5058281709207     
 TE -error=   -18383.3046875000        5928827429871.38     
 Volume Error=   7.538574209320359E-002   16.5046458278084     
 TE -error=   -19387.6162109375        5928827428867.07     
